City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,Westport,41.1415,-73.3579,34.0,51,0,13.51,US,2021-01-07 01:56:02
158,Kamenka,51.3223,42.7678,27.0,96,100,1.01,RU,2021-01-07 01:56:03
159,Gat,31.61,34.7642,61.0,57,33,3.0,IL,2021-01-07 01:55:00
160,Monywa,22.1167,95.1333,71.26,62,22,3.56,MM,2021-01-07 01:56:03
161,Sechura,-5.5569,-80.8222,72.25,74,21,9.91,PE,2021-01-07 01:56:03
162,Farah,32.5,62.5,22.5,90,0,2.77,AF,2021-01-07 01:56:03
163,Airai,-8.9266,125.4092,73.98,78,90,1.83,TL,2021-01-07 01:56:04
164,Am Timan,11.0297,20.2827,66.51,25,0,6.44,TD,2021-01-07 01:56:04
165,Torbay,47.6666,-52.7314,37.99,100,90,11.41,CA,2021-01-07 01:56:04
166,Copiapo,-27.3667,-70.3333,60.8,82,0,10.29,CL,2021-01-07 01:56:04
167,Robertsport,6.7533,-11.3686,80.55,83,10,10.09,LR,2021-01-07 01:56:05
168,Mount Pleasant,32.7941,-79.8626,46.0,81,75,7.27,US,2021-01-07 01:53:16
169,Murgab,37.4966,61.9714,24.8,85,90,3.22,TM,2021-01-07 01:56:05
170,Saldanha,-33.0117,17.9442,59.0,82,0,5.82,ZA,2021-01-07 01:56:05
171,Baherden,38.4362,57.4316,29.25,83,0,7.52,TM,2021-01-07 01:54:07
172,Geraldton,-28.7667,114.6,96.8,13,0,24.16,AU,2021-01-07 01:56:06
173,Houston,29.7633,-95.3633,57.99,76,90,14.99,US,2021-01-07 01:54:46
174,Caravelas,-17.7125,-39.2481,74.52,86,0,5.68,BR,2021-01-07 01:56:06
175,Kaduqli,11.0167,29.7167,70.86,23,0,11.27,SD,2021-01-07 01:56:07
176,Foindu,7.4108,-11.5422,75.36,93,59,1.41,SL,2021-01-07 01:56:07
177,Tanabe,33.7333,135.3667,50.0,53,75,11.41,JP,2021-01-07 01:56:07
178,Yellowknife,62.456,-114.3525,17.01,92,90,10.29,CA,2021-01-07 01:52:56
179,Mopipi,-21.1833,24.8833,80.46,49,100,3.94,BW,2021-01-07 01:56:07
180,Bairnsdale,-37.8333,147.6167,69.01,66,90,8.01,AU,2021-01-07 01:56:08
181,Bonavista,48.6499,-53.1147,37.4,93,100,1.12,CA,2021-01-07 01:56:08
182,Pangnirtung,66.1451,-65.7125,-18.18,83,100,2.17,CA,2021-01-07 01:56:08
183,Berlevag,70.8578,29.0864,30.29,92,79,14.74,NO,2021-01-07 01:56:08
184,Biltine,14.5333,20.9167,71.64,19,0,13.76,TD,2021-01-07 01:56:09
185,Namibe,-15.1961,12.1522,70.81,79,92,4.59,AO,2021-01-07 01:56:09
186,Uribia,11.7139,-72.266,78.31,71,43,8.5,CO,2021-01-07 01:56:09
187,Agua Branca,-5.8922,-42.6361,78.76,66,50,1.5,BR,2021-01-07 01:56:09
188,Villa Constitucion,-33.2278,-60.3297,75.0,63,0,4.12,AR,2021-01-07 01:55:07
189,Flin Flon,54.7682,-101.865,19.78,97,100,7.23,CA,2021-01-07 01:56:10
190,Baruun-Urt,46.6806,113.2792,-25.56,80,0,8.41,MN,2021-01-07 01:56:10
191,Zhezkazgan,47.8043,67.7144,-13.77,84,0,7.38,KZ,2021-01-07 01:56:10
192,Alice Springs,-23.7,133.8833,82.4,23,0,16.11,AU,2021-01-07 01:56:10
193,Moranbah,-22.0016,148.0466,87.26,56,32,7.63,AU,2021-01-07 01:56:11
194,Hambantota,6.1241,81.1185,73.4,100,40,1.12,LK,2021-01-07 01:56:11
195,Coahuayana,18.7333,-103.6833,75.2,64,75,2.01,MX,2021-01-07 01:56:11
196,Longyearbyen,78.2186,15.6401,17.6,72,75,4.7,SJ,2021-01-07 01:56:11
197,Antalaha,-14.9003,50.2788,74.14,86,88,5.59,MG,2021-01-07 01:56:12
198,Husavik,66.0449,-17.3389,24.8,62,90,10.29,IS,2021-01-07 01:56:12
199,Fairbanks,64.8378,-147.7164,-5.8,83,75,2.24,US,2021-01-07 01:53:46
200,Bonthe,7.5264,-12.505,78.76,86,87,6.49,SL,2021-01-07 01:56:12
201,Moree,-29.4667,149.85,75.2,69,90,9.17,AU,2021-01-07 01:56:12
202,Norman Wells,65.282,-126.8329,-18.4,75,75,2.24,CA,2021-01-07 01:56:13
